Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-10-31 11:28:43.706 +0530,"Success",0:00:00,0,0,0,"20251031_112843.706/LogFile.txt","","",1
2025-11-05 12:28:07.086 +0530,"Success",0:00:00,0,0,0,"20251105_122807.086/LogFile.txt","","",1
