Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-10-28 16:28:36.383 +0530,"Success",0:00:00,0,0,0,"20251028_162836.383/LogFile.txt","","",1
2025-10-28 16:30:13.618 +0530,"Success",0:00:00,0,0,0,"20251028_163013.618/LogFile.txt","","",1
2025-12-30 12:33:03.316 +0530,"Success",0:00:00,0,0,0,"20251230_123303.316/LogFile.txt","","",1
